ID_Produto,Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
4468,TENIS MALDEN OX,Tenis Adulto,TENIS,2013-03-08,,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.95,139.9
4469,TENIS MASC,Sapato Masculino,TENIS,2014-07-26,,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,123.29,249.9
4470,TENIS MASC GEL VENTURE,Sapato Masculino,TENIS,2015-03-25,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,87.57,179.9
4471,TENIS MASC.,Sapato Masculino,TENIS,2013-11-22,,19,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.0,69.9
4472,TENIS MASCULINO,Sapato Masculino,TENIS,2017-08-04,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,85.58,174.9
4473,TENIS METALIZADO,Tenis Adulto,TENIS,2013-02-20,,25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,51.98,99.9
4474,TENIS MINI MELISSA,Sapato Infantil,TENIS,2013-03-28,,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.26,79.9
4475,TENIS MISSY,Sapato Feminino,TENIS,2012-12-10,,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,52.08,99.9
4476,TENIS MIZUNO,Sapato Feminino,TENIS,2015-03-30,,44,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,132.99,224.9
4477,TENIS MIZUNO,Sapato Masculino,TENIS,2012-03-07,,27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.415,199.9
4478,TENIS MIZZUNO,Sapato Masculino,TENIS,2015-03-30,,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,167.54,299.9
4479,TENIS MONTREAL,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,80.3,159.9
4480,TENIS MOUT,Sapato Masculino,TENIS,2012-08-10,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,95.19,189.9
4481,TENIS NESK,Sapato Feminino,TENIS,2011-04-13,,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.45,39.91
4482,TENIS OLIMP,Sapato Masculino,TENIS,2011-05-03,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.95,179.9
4483,TENIS OLIMP ANDES,Sapato Masculino,TENIS,2013-02-19,,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.95,129.9
4484,TENIS OLIMP BETA,Sapato Feminino,TENIS,2011-05-31,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.95,99.91
4485,TENIS OLIMP FORCE,Sapato Masculino,TENIS,2011-05-31,,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.86,79.9
4486,TENIS OLIMP TRACE,Sapato Feminino,TENIS,2011-05-31,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.95,99.91
4487,TENIS OLIMPIKUS,Tenis Adulto,TENIS,2013-02-21,,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,62.83,129.9
4488,TENIS OLIMPYKUS,Tenis Adulto,TENIS,2013-03-27,,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,83.79,173.23333333333335
4489,TENIS OLK,Sapato Feminino,TENIS,2011-06-21,,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.78,84.905
4490,TENIS OLK,Sapato Masculino,TENIS,2011-06-24,,261,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,101.7073076923077,203.7569230769231
4491,TENIS OLK POWER,Sapato Masculino,TENIS,2011-07-26,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,52.785,99.91
4492,TENIS OLYMPIKUS,Tenis Adulto,TENIS,2013-03-28,,29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,73.1075,149.9
4493,TENIS PATRIOT,Sapato Masculino,TENIS,2015-03-25,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,87.57,179.9
4494,TENIS PICADILLY,Tenis Adulto,TENIS,2013-02-01,,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,181.61,229.45
4495,TENIS RAINHA,Sapato Feminino,TENIS,2014-09-01,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,104.4,209.9
