ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
CL41604,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/07/2021,4,31/01/2022,0,0.0,0.0,4,6796.0,89974.0,"32,39",22493.0,16141.0,2999.0,CL41604_100_0
CL41098,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,03/12/2019,4,11/07/2020,0,0.0,0.0,5,8245.0,89971.0,"9,12",17994.0,15665.0,2999.0,CL41098_100_0
BZ15,BLAZER                        ,12,Confeccao                     ,71,COLETE                        ,100,UNICA                         ,30/10/2024,15,20/05/2025,5,2000.0,4495.0,10,4000.0,8990.0,"124,75",899.0,400.0,899.0,BZ15_100_0
23282,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,24/08/2023,4,21/09/2023,0,0.0,0.0,4,4560.0,8966.0,"96,62",22415.0,1150.0,2299.0,23282_100_0
110202001,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,23/12/2020,6,05/05/2021,0,0.0,0.0,7,4270.0,89626.0,"109,9",12803.0,5734.0,1299.0,110202001_100_0
80340013,SHORT                         ,12,Confeccao                     ,18,SHORT                         ,100,UNICA                         ,03/02/2023,8,23/01/2024,0,0.0,0.0,9,21105.0,89404.0,"323,62",9933.0,2345.0,999.0,80340013_100_0
77053,CAMISETA                      ,12,Confeccao                     ,35,CAMISETA                      ,100,UNICA                         ,02/05/2023,9,09/03/2024,0,0.0,0.0,10,4416.0,8941.0,"102,47",8941.0,4739.0,899.0,77053_100_0
830079,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,20/06/2023,9,12/09/2024,1,529.0,999.0,9,4761.0,8942.0,"87,82",9935.0,4761.0,999.0,830079_100_0
BL45,BLAZER                        ,12,Confeccao                     ,75,CASACO                        ,100,UNICA                         ,07/03/2023,12,12/06/2023,0,0.0,0.0,12,5400.0,89489.0,"65,72",7457.0,450.0,899.0,BL45_100_0
CL41688,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/08/2021,5,03/08/2022,0,0.0,0.0,5,8245.0,8930.0,"8,31",1786.0,15666.0,2799.0,CL41688_100_0
V22DT264,SAIA                          ,12,Confeccao                     ,43,SAIA                          ,100,UNICA                         ,10/03/2022,5,26/07/2022,0,0.0,0.0,6,6960.0,88966.0,"27,82",14827.0,1044.0,1999.0,V22DT264_100_0
99066,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,10/10/2023,12,13/06/2024,0,0.0,0.0,13,51831.0,8892.0,"71,56",684.0,4279.0,799.0,99066_100_0
BL25,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,24/11/2022,16,04/02/2023,0,0.0,0.0,19,4750.0,8885.0,"87,05",4676.0,250.0,499.0,BL25_100_0
